x,y,z,freq
-0.00610352,0.891357,-0.135254,12.2124
-0.00610352,0.891357,-0.135254,5.98248
-0.107422,0.994629,-0.102783,3.64424
-0.107422,0.994629,-0.102783,6.82238
-0.111084,1.01733,-0.120361,1.33893
-0.111084,1.01733,-0.120361,5.55351
-0.00244141,1.05566,-0.0895996,0.312452
-0.00244141,1.05566,-0.0895996,3.80435
0.0817871,1.04688,-0.0827637,1.01435
0.0246582,1.05005,-0.0859375,7.22144
0.0246582,1.05005,-0.0859375,1.30488
-0.0354004,1.01709,-0.143066,7.89407
-0.0354004,1.01709,-0.143066,9.26228
-0.0849609,1.0061,-0.119385,2.71168
-0.0849609,1.0061,-0.119385,0.147931
-0.0964355,1.02222,-0.140381,5.91763
-0.0290527,1.05176,-0.120361,2.31638
-0.0290527,1.05176,-0.120361,3.53076
0.03125,1.04248,-0.104004,4.16604
0.03125,1.04248,-0.104004,6.06527
0.0964355,1.04858,-0.0871582,3.96491
0.0964355,1.04858,-0.0871582,8.87868
0.146484,1.00537,-0.109375,1.28416
-0.0114746,0.865234,-0.138916,4.39553
-0.0114746,0.865234,-0.138916,3.43432
-0.0388184,0.873291,-0.124512,1.77637
-0.0388184,0.873291,-0.124512,1.1545
-0.0839844,0.907715,-0.11792,0.911855
-0.118652,0.969971,-0.10791,8.2629
-0.118652,0.969971,-0.10791,0.603653
-0.0957031,0.995117,-0.122803,0.317125
-0.0957031,0.995117,-0.122803,1.48189
0.0202637,1.02539,-0.0817871,2.72397
0.0202637,1.02539,-0.0817871,0.118569
0.0874023,1.02197,-0.0788574,4.74441
0.020752,1.02344,-0.0859375,2.03343
0.020752,1.02344,-0.0859375,3.6141
-0.0476074,0.990723,-0.143066,7.11896
-0.0476074,0.990723,-0.143066,4.2374
-0.0957031,0.989746,-0.113281,0.331476
-0.0957031,0.989746,-0.113281,6.26915
-0.0957031,1.01172,-0.130371,0.804141
-0.0270996,1.04932,-0.109131,2.0894
-0.0270996,1.04932,-0.109131,0.539835
0.102539,1.04053,-0.0917969,121.6
0.13208,0.987793,-0.106201,3.9382
0.112305,0.918457,-0.09375,2.30426
0.112305,0.918457,-0.09375,6.07669
0.0656738,0.867432,-0.133057,4.95809
0.0656738,0.867432,-0.133057,2.8994
